longitude;latitude;samsung;iphone;huawei;departement;ville;adresse
-1.51815;43.49507;5;7;10;64;Anglet;Avenue Belle Marion
-1.42988;46.66976;3;3;2;85;La Roche-sur-Yon;15 Rue Georges Clémenceau
-1.43024;46.69141;5;9;5;85;La Roche-sur-Yon;CC Les Flaneries
-1.54907;47.16152;8;4;8;44;Rezé;10 rond-point Corbinerie ,CC Océane
-1.46916;47.18722;0;4;5;44;Basse-Goulaine;CC Leclerc Pôle Sud
-1.49383;47.19164;9;2;1;44;Saint-Sébastien-sur-Loire;CC Auchan
-1.57205;47.19424;10;6;3;44;Rezé;CC Leclerc Atout Sud ,1 Rue Ordronneau
-1.5351;47.20456;10;3;10;44;Nantes;6 Rue du Dr Zamenhoff ,CC Beaulieu
-1.55925;47.21496;2;8;8;44;Nantes;14 Rue de la Contrescarpe
-3.16566;48.56226;5;4;1;22;Guingamp;10 Place du champ au Roy
-1.55471;47.21563;2;10;10;44;Nantes;28 Rue de la Marne ,Quartier Decré
-1.63044;47.22492;2;6;9;44;Saint-Herblain;CC Atlantis
-1.51842;47.25076;6;5;3;44;Nantes;14 Route de Paris ,CC Paridis
-2.26452;47.25845;8;5;10;44;Saint-Nazaire;CC Géant Océanis
-2.21331;47.27441;7;0;3;44;Saint-Nazaire;2 Avenue de la République
-2.39138;47.28597;2;0;8;44;La Baule-Escoublac;128 Avenue du Général de Gaulle
-2.20884;47.30136;9;3;8;44;Trignac;CC Auchan
-2.42696;47.32693;10;10;7;44;Guérande;Place du Marhallé
-2.08496;47.64874;2;1;3;35;Redon;50 Grande-Rue
-2.76058;47.65561;4;5;4;56;Vannes;15 Place de la République
-2.79326;47.66015;3;10;4;56;Vannes;CC Carrefour
-2.9868;47.6673;10;9;1;56;Auray;10 Rue du Maréchal Foch
-2.79373;47.66736;8;6;2;56;Vannes;CC Leclerc
-1.37718;47.71792;0;3;1;44;Châteaubriant;5 Place de la Motte
-3.36336;47.74834;3;10;5;56;Lorient;13 Place Aritstide Briand
-3.39713;47.76576;5;3;1;56;Lorient;CC Carrefour
-0.36795;43.29456;6;9;5;64;Pau;Rue Louis Barthou
-1.05382;43.70975;7;5;7;40;Dax;38 Rue des Carmes
-0.58472;44.83872;2;6;1;33;Bordeaux;CC Mériadeck
-0.57845;44.84174;5;1;1;33;Bordeaux;52 Cours de l'Intendance
-0.22136;44.90157;9;9;2;33;Libourne;CC Carrefour ,102 Avenue Général de Gaulle
-0.24219;44.91571;3;7;0;33;Libourne;58 Rue Gambetta
-1.02735;45.62466;3;5;0;17;Royan;8 bis Boulevard de la République
-0.32633;45.6942;2;8;9;16;Cognac;29 Rue d’Angoulême
-0.63267;45.74576;9;3;3;17;Saintes;22 Rue d’Alsace-Lorraine
-0.96144;45.93549;1;3;6;17;Rochefort;53 Avenue Charles de Gaulle
-1.15074;46.16116;0;7;9;17;La Rochelle;31 Rue Saint-Yon
-1.11774;46.17372;8;2;6;17;Puilboreau;CC Carrefour ,ZA de Beaulieu
-0.46229;46.32487;2;6;9;79;Niort;26 Rue Victor Hugo
-0.8067;46.4663;7;0;7;85;Fontenay-le-Comte;12 Rue Georges Clémenceau
-0.24949;46.6481;8;3;3;79;Parthenay;38 Rue Jean Jaurès
-0.49274;46.83925;3;7;10;79;Bressuire;23 Rue de la Huchette
-1.01455;46.87096;5;4;5;85;Les Herbiers;17 Rue de l’Eglise
-0.90116;47.04227;0;2;1;49;Cholet;CC Géant ,Route des Sables d’O.
-0.87739;47.06253;3;4;7;49;Cholet;Place Alexis Guérineau
-0.07864;47.25827;9;7;2;49;Saumur;35 Rue du Portail Louis
-0.52473;47.46725;8;1;8;49;Angers;CC Espace Anjou ,75 Rue Montaigne
-0.59538;47.46833;4;10;10;49;Angers;CC Carrefour Grand-Maine
-0.55445;47.47214;4;0;5;49;Angers;CC Fleur d’Eau ,Rue Plantagenêt
-0.55046;47.47277;1;3;10;49;Angers;10 bis Rue Lenepveu
-0.54232;47.4891;2;2;4;49;Angers;CC Carrefour Saint-Serge
-0.07385;47.69941;6;1;5;72;La Flèche;28 Grande-Rue
-4.52669;48.38848;9;0;6;29;Brest;CC Carrefour Iroise
-4.48905;48.38817;1;3;4;29;Brest;64 Rue de Siam
-4.4877;48.38911;3;10;6;29;Brest;95 Rue de Siam
-4.48241;48.3928;9;6;7;29;Brest;Rue Dupleix
-4.48174;48.39294;1;6;8;29;Brest;Rue Jean Jaurès
-4.46627;48.4076;1;1;0;29;Brest;CC Géant ,29 Route Gouesnou
-4.32743;48.09396;3;2;4;29;Douarnenez;25 Rue Voltaire
-4.32301;48.57334;1;3;5;29;Lesneven;1 Rue de Jérusalem
-4.24799;48.4514;8;10;5;29;Landerneau;6 Rue de la Tour d'Auvergne
